"title","status","rating","favoriteCharacter","featured","favorite"
"Attack on Titan","Completed","10","Eren Yeager","false","true"
"Jujutsu Kaisen","Completed","8","Yuji Itadori","false","false"
"Demon Slayer: Kimetsu no Yaiba","Completed","9","Tanjiro Kamado","false","false"
"My Hero Academia","Completed","8","Izuku Midoriya","false","false"
"Hunter x Hunter (2011)","Completed","9","Gon Freecss","false","true"
"One-Punch Man","Completed","7.5","Saitama","false","false"
"One Piece","Currently Watching","9.9","Monkey D. Luffy","true","true"
"Naruto","Completed","8","Naruto Uzumaki","false","true"
"Tokyo Ghoul","On Hold","7","Ken Kaneki","false","false"
"Fullmetal Alchemist: Brotherhood","Dropped","6","Edward Elric","false","false"
"Sword Art Online","Completed","9","Kirito","true","false"
"Assassination Classroom","Completed","10","Nagisa Shiota","false","false"
"Re:ZERO - Starting Life in Another World","Dropped","6.5","Subaru Natsuki","false","false"
"Mob Psycho 100","Completed","7","Shigeo Kageyama","false","false"
"The Seven Deadly Sins","Completed","8","Meliodas","false","false"
"Bleach","Completed","9","Ichigo Kurosaki","false","true"
"Vinland Saga","Completed","10","Thorfinn","true","false"
"Parasyte -the maxim-","Completed","7","Shinichi Izumi","false","false"
"DARLING in the FRANXX","Completed","9","Hiro","false","false"
"Code Geass: Lelouch of the Rebellion","Planned","0","","false","false"
"Fire Force","Dropped","7","Shinra Kusakabe","false","false"
"JoJo's Bizarre Adventure","Planned","0","","false","false"
"Blue Exorcist","Completed","7","Rin Okumura","false","false"
"The Rising of the Shield Hero","Completed","7","Naofumi Iwatani","false","false"
"Fairy Tail","Completed","9","Natsu Dragneel","false","true"
"Overlord","Dropped","6","Ainz Ooal Gown","false","false"
"Kill la Kill","Dropped","6","Ryuko Matoi","false","false"
"That Time I Got Reincarnated as a Slime","Currently Watching","9","Rimuru Tempest","false","false"
"Dr. STONE","Dropped","6.5","Senku Ishigami","false","false"
"Tower of God","Completed","8","Bam","false","false"
"The Promised Neverland","Completed","8","Emma","false","false"
"Hell's Paradise","Currently Watching","8","Gabimaru","false","false"
"Seraph of the End","Completed","8","Yuichiro Hyakuya","false","false"
"The Eminence in Shadow","Completed","9.5","Cid Kagenou","false","false"
"Gintama","Dropped","5","Gintoki Sakata","false","false"
"Blue Lock","Dropped","6.5","Yoichi Isagi","false","false"
"Goblin Slayer","Completed","7","Goblin Slayer","false","false"
"The God of High School","Completed","7.5","Jin Mori","false","false"
"Kaiju No. 8","Dropped","6.5","Kafka Hibino","false","false"
"Elfen Lied","Completed","6","Lucy","false","false"
"Dragon Ball","On Hold","8","Goku","false","false"
"MASHLE: Magic and Muscles","Completed","7","Mash Burnedead","false","false"
"Fate/stay night","Dropped","7","Shirou Emiya","false","false"
"Saga of Tanya the Evil","Completed","8","Tanya Degurechaff","false","false"
"The Misfit of Demon King Academy","Completed","6.5","Anos Voldigoad","false","false"
"The Irregular at Magic High School","Completed","6.5","Tatsuya Shiba","false","false"
"Magi: The Labyrinth of Magic","Completed","8","Aladdin","false","false"
"Guilty Crown","Completed","7","Shu Ouma","false","false"
"Arifureta: From Commonplace to World's Strongest","Completed","7","Hajime Nagumo","false","false"
"Chivalry of a Failed Knight","Completed","8","Ikki Kurogane","false","false"
"Classroom of the Elite","Completed","0","Kiyotaka Ayanokoji","false","false"
"Boruto: Naruto Next Generations","Planned","0","","false","false"
"SPY x FAMILY","Dropped","6.5","Loid Forger","false","false"
"Ranking of Kings","Completed","7","Bojji","false","false"
"Akashic Records of Bastard Magic Instructor","Completed","6.5","Glenn Radars","false","false"
"Sakamoto Days","Dropped","6","Taro Sakamoto","false","false"
"Gachiakuta","Planned","0","","false","false"
"Trinity Seven","Completed","6.5","Arata Kasuga","false","false"
