title,status,rating,featured,favorite
The Lightning Thief,Completed,8,false,false
The Sea of Monsters,Completed,8,false,false
The Titan's Curse,Completed,8,false,false
The Battle of the Labyrinth,Completed,9,false,false
The Last Olympian,Completed,8,false,false
The Lost Hero,Completed,9,false,false
The Son of Neptune,Completed,8.5,false,false
The Mark of Athena,Completed,9,false,false
The House of Hades,Completed,9,false,false
The Blood of Olympus,Completed,9,false,false
The Sword of Summer,Completed,7,false,false
The Hammer of Thor,Completed,7.5,false,false
The Ship of the Dead,Completed,8,false,false
The Hidden Oracle,Completed,9,false,false
The Dark Prophecy,Completed,8,false,false
Big Nate,Completed,10,false,false
Diary of a Wimpy Kid,Completed,8.5,false,false
Red Rising,Currently Reading,8,true,false
Golden Son,Planned,0,false,false
Morning Star,Planned,0,false,false
Iron Gold,Planned,0,false,false
