"title","status","rating","favoriteCharacter","featured","favorite"
"66,666 Years: Advent of the Dark Mage","Currently Reading","7","Jamie Welton","false","false"
"A Flame Reborn","Currently Reading","7","Lee Hwa","false","false"
"A Regressor's Tale of Cultivation","Planned","0","Seo Eun-Hyun","false","false"
"A Returner's Magic Should Be Special","Completed","8","Desir Arman","false","false"
"Absolute Regression","Currently Reading","8","Jin Mu-Won","false","false"
"Absolute Sword Sense","Currently Reading","8","Soh Woon-Hwi","false","false"
"Act Like a Boss Monster, Mr. Swallow!","Currently Reading","9","Swallow","false","false"
"After Ten Millennia in Hell","Currently Reading","7","Kang Woo","false","false"
"Bad Born Blood","Currently Reading","6","Yoon Gamin","false","false"
"Barbarian Quest","Currently Reading","8","Urich","false","false"
"Becoming the Monarch","Currently Reading","7","Kang Jinhyuk","false","false"
"Boundless Ascension","Currently Reading","8","Seong Yun","false","false"
"Cheonhwa Archive's Young Master","Currently Reading","7","Mok Gyeongwoon","false","false"
"Dungeon Odyssey","Currently Reading","9","Kim Jinwoo","false","false"
"Eleceed","Planned","0","Jiwoo Seo","false","false"
"Enrolling in the Transcendent Academy","Completed","7","Kim Suho","false","false"
"GOSU","Currently Reading","7","Gang Ryong","false","false"
"Heavenly Demon Reborn!","Completed","7.5","Chun Hajin","false","false"
"I Became the Villain the Hero Is Obsessed With","Planned","0","Han Siyoung","false","false"
"I Possessed a Body and Became an Urban Legend","Planned","0","Yu Seong","false","false"
"Infinite Leveling: Murim","Planned","0","Dan Yuseong","false","false"
"I’m the Max-Level Newbie","Currently Reading","8","Kang Jinhyuk","false","false"
"Jungle Juice","Currently Reading","7","Suchan Jang","false","false"
"Kariel the Warrior","Currently Reading","8","Kariel","false","false"
"Kill the Hero","Completed","7","Woojin Kim","false","false"
"Killer Peter","Currently Reading","7","Peter","false","false"
"Latna Saga: Survival of a Sword King","Currently Reading","7.5","Hanbin Ryu","true","false"
"Level Up with the Gods","Currently Reading","8","Kim Yuwon","false","false"
"Leviathan","Currently Reading","6","Bota","false","false"
"Log-in Murim","Completed","9","Jin Tae-Kyung","false","false"
"Lookism","Currently Reading","7","Daniel Park","false","false"
"MEMORIZE","Completed","7","Kim Suhyun","false","false"
"Murim RPG Simulation","Currently Reading","0","Seolhwi","false","false"
"My Blasted Reincarnated Life","Completed","8","Eugene Lionheart","false","false"
"Myst, Might, Mayhem","Currently Reading","9","Mok Gyeongwoon","true","true"
"Mythic Item Obtained","Currently Reading","8","Jaehyun Min","false","false"
"Nano Machine","Completed","8","Cheon Yeo-Woon","false","false"
"Omniscient Reader","Currently Reading","9","Kim Dokja","true","true"
"Pick Me Up","Currently Reading","9","Han Seojin","true","false"
"Player","Currently Reading","7","Heo Seol-Jin","false","false"
"Return of the Mad Demon","Currently Reading","8","Lee Jaha","false","false"
"Reality Quest","Currently Reading","0","Dowan Ha","false","false"
"Returned by the King","Currently Reading","7","Kang Junhyuk","false","false"
"Returning With Absolutely Nothing","Currently Reading","6","Yuseong","false","false"
"Revenge of the Baskerville Bloodhound","Currently Reading","8","Vikir van Baskerville","true","false"
"Second Life Ranker","Planned","0","Yeon-woo","false","false"
"Shadow of the Supreme","Currently Reading","7.5","Yeon Woon-Hwi","false","false"
"Solo Leveling","Completed","10","Sung Jinwoo","true","true"
"Space Cheon-ma 3077","Completed","0","Cheonma","false","false"
"Surviving the Game as a Barbarian","Currently Reading","8.5","Bjorn Yandel","false","false"
"Teenage Mercenary","Currently Reading","7.5","Yu Ijin","false","false"
"The 100th Regression of the Max-Level Player","Currently Reading","8","Ryu Min","false","false"
"The Academy's Genius Swordsman","Currently Reading","8","Ronan","false","false"
"The Academy's Undercover Professor","Currently Reading","7","Ludger Cherish","false","false"
"The Archmage Returns After 4000 Years","Completed","9.5","Lucas Traumen","true","true"
"The Art of Reincarnation","Currently Reading","8","Daven","false","false"
"The Bastard of Swordborne","Currently Reading","7","Theo","false","false"
"The Beginning After the End","Currently Reading","8.5","Arthur Leywin","false","false"
"The Constellations Are My Disciples","Currently Reading","6.5","Jin Yeon","false","false"
"The Ember Knight","Currently Reading","7","Nagyunn","false","false"
"The Fox-Eyed Villain of the Demon Academy","Currently Reading","7","Ethan","false","false"
"The Greatest Estate Developer","Currently Reading","9","Lloyd Frontera","true","false"
"The Heavenly Demon Wants a Quiet Life","Currently Reading","7","Pyo Wol","false","false"
"The Infinite Mage","Currently Reading","8","Shirone","false","false"
"The Last Adventurer","Currently Reading","8","Raven","true","false"
"The Legend of the Northern Blade","Completed","9","Jin Mu-Won","true","true"
"The Legendary Moonlight Sculptor","Planned","0","Lee Hyun","false","false"
"The Legendary Spearman Returns","Completed","6.5","Joshua Sanders","false","false"
"The Max Level Hero Strikes Back!","Currently Reading","7","Davey O'Rowane","false","false"
"The Necromancer Family’s Young Heir","Planned","0","Leon von Marbas","false","false"
"The Novel's Extra","Currently Reading","7","Kim Hajin","false","false"
"The Patron of Villains","Planned","0","Cha Minjun","false","false"
"The Player Hides His Past","Planned","0","Lee Hoyeol","false","false"
"The Player Who Can't Level Up","Currently Reading","6.5","Kim Gigyu","false","false"
"The Reaper","Currently Reading","8","Pyo Wol","false","false"
"The Reborn Young Lord is an Assassin","Currently Reading","8","Cyan Vert","false","false"
"The Regressed Mercenary Has a Plan","Currently Reading","8.5","Ghislain Ferdium","false","false"
"The Return of the 8th Class Mage","Completed","8","Ian Page","false","false"
"The Stellar Swordmaster","Currently Reading","9","Vlad","true","false"
"The Swordmaster's Son","Currently Reading","8.5","Jin Runcandel","false","false"
"The Tutorial Is Too Tough!","Currently Reading","6","Lee Hojae","false","false"
"The Warrior Returns","Planned","0","Minsu Kim","false","false"
"The World After the Fall","Currently Reading","7.5","Jaehwan","false","false"
"Tomb Raider King","Currently Reading","5.5","Seo Joo-Heon","false","false"
"Tyrant of the Tower Defense Game","Currently Reading","8","Ash Born","false","false"
"Ultimate Shut-in","Planned","0","Kim Hyunsoo","false","false"
"Ultimate Tutorial Warrior","Planned","0","Lee Hojae","false","false"
